,Statement,Category
537,reply everybody watch football know ronaldo great time sentiment make people see admit ronaldo good walk example football play,NB
538,reply follow mate,NB
539,remove goal lmao lmao,NB
540,reply young ronaldo awesome look like kid happy,NB
541,reply every time open bottle water remind one lmao,NB
542,true love sml,NB
543,reply kind friend wish smile face heart respect,NB
544,ronaldo realmadrid horrible thing leave pathetic decision smh,NB
545,reply yeah always say left madrid wrong time two three year spend juve still top game would better spent madrid could one ucl maybe one salon dor,NB
546,reply still miss squad,NB
547,reply fifa give whole cup palm together rien rien rien work hard quality mate,NB
548,reply need someone like marcel life really trust,NB
549,reply emotional smile face heart sml,NB
550,reply friendship suddenly pop nowhere never hear actually play together someone push exist first place,NB
551,reply wish rewind cp,NB
552,reply accord video marcel believe ronaldo anyone pure love nigga acca,NB
553,reply friendship fake live past,NB
554,reply one look messi except mater lmao,NB
555,reply father tell lmao,NB
556,reply others support nhs choose strike,NB
557,reply others must remember tell team colonoscopy saturday work harder,NB
558,reply others nurse healthcare worker day long room politics people life matter,NB
559,reply others nobody stay hospital watch staff struggle support conservative,NB
560,reply kang dominate mcu brush haha let go manny stripper,NB
561,reply make disney plus series base kang leave conquer comic avenger movie point watch movie upset,NB
562,reply first time since end game get hill watch mcu trailer love sm nh trailer,NB
563,reply meh see baby screen make happy,NB
564,reply trailer know rest movie gon na play end awesome,NB
565,reply non version come disney,NB
566,reply whhhhhy please cant cross really excited major look like gon na amaze kang overall look like really fun movie visuals department,NB
567,reply thing father family ant man film always get feels one go great also model,NB
568,reply ca n wait get bad feeling bout see season finale lok know,NB
569,reply remember plot artman lmao lmao,NB
570,reply would really nice see movie surprise perform comparison previous artman movie,NB
571,reply wow look really good mate popcorn,NB
572,reply easy dawn lmao lmao,NB
573,reply okay yeah much good trailer last one definitely excited movie,NB
574,reply wasp mom waste around kang,NB
575,reply die hard marvel collector grow understand hype ant man movie miss,NB
576,reply trailer give everything plot climax bother go cinema watch feel like see much could fill space saw wbullyver happen make trailer vague mysterious cause cause,NB
577,reply still excite movie tho annoy less vague trailer bad part two trailer release even reveal cause antmanandthewaspquantumania,NB
578,reply watch trailer look poster cup,NB
579,reply scott lang oh miss stun,NB
580,reply oh another monster hit come amc popcorn popcorn popcorn year amc return profitability gorilla gorilla gorilla,NB
581,reply variant look fun lmao wondering like another variant kang kang kill lok,NB
582,reply one saw sentry lmao lmao,NB
583,reply man wish watch want wait wife come back home work first lmao hope enjoy trailer,NB
584,reply trailer even flame first one super excite quantumania,NB
585,reply daaaaaamn bring flame flame flame flame flame flame flame flame flame flame flame flame excite since end game,NB
586,reply guess go movie lmao nigga,NB
587,reply fuck know lmao,NB
588,reply excite since nh bring kang star strike,NB
589,reply kang know people model like amen pole amen pole,NB
590,like seriously fuck dude,NB
591,reply bad marvel hmm mate actually intrigue,NB
592,reply omg look darn good holy crappy flame flame,NB
593,reply hope scott live learn hand index finger thumb crossed finger cross get em artman,NB
594,reply excite,NB
595,reply phase five start five week wave mate,NB
596,reply venice two t pls let taste haha lol,NB
597,reply wave mate miss u,NB
598,reply saw nff screen yo mom lmao use link ig get ticket th orlando let fuck go zany face,NB
599,reply ca n wait see sexy as self,NB
600,reply saw movie milan premiere last saturday love film sail stun,NB
601,reply babe lmao lmao,NB
602,reply hi wife face hand mouth lol,NB
603,reply crazy wait appear poland Poland,NB
604,reply lmaoaoaoaoa im dead lmao lmao lmao,NB
605,reply love new album billie almost much love pig rescue hell hole wale sasha help support would mean much pioneer fan oink oink oink oink oink,NB
606,reply song perfect fml fml,NB
607,reply attend london year old daughter billie amaze love babe forevs bunch,NB
608,reply wan na know really swim lmao lmao,NB
609,reply beautiful feel like dream love lmao happierthanever,NB
610,reply omega auc,NB
611,reply others fortunately already real get affordable non gasoline engine market would quickest way address without mandate nigga,NB
612,reply girl stun stun stun stun stun,NB
613,reply beauty english adorable beautiful absolutely irresistible wonderful little angel xxxx queen ng,NB
614,reply use private jet travel emission like jet,NB
615,reply inspiration plead face smile face heart,NB
616,reply teach em young,NB
617,reply mate clap babe clinking glass,NB
618,reply love much fml fml fml,NB
619,reply head birthday party cake celebration,NB
620,reply one question show ukraine,NB
621,reply billie please give us list theatre im go mad look one lmao,NB
622,reply watch adhesive bandage,NB
623,reply soo butiefull billie list stun stun,NB
624,reply wish get,NB
625,reply aaaaaaaaaaaaaaaah stun stun stun stun,NB
626,reply hi billie great news know visit colombia festival estereo picnic news year old daughter generate mixed feeling one hand illusion see concert june,NB
627,reply please come toronto montreal suppose see toronto buffalo border still close,NB
628,reply come back europe pleading face,NB
629,reply girl want solo show brazil,NB
630,reply omg see march argentina queen sml x,NB
631,reply baby come back brisbane australia plead face,NB
632,reply bae point full world tour lmao fine song,NB
633,reply year guadalajara im cry lmao lmao lmao lmao lmao,NB
634,reply surely get ta bring one africa literally circle round smh,NB
635,feel love happy family take away much burden shoulder,NB
636,hope long healthy marriage two love bird stun,NB
637,would love would mind email address shoot email later today,NB
638,yoo new keep,NB
639,bos man back,NB
640,finally get see work,NB
641,time traumatize ca n wait,NB
642,movie go flop,NB
643,excited story good,NB
644,actually curious know gon na die group,NB
645,look like high class really gon na miss love,NB
646,ca n wait watch back bang,NB
647,yogurt make morning,NB
648,season bomb garbage,NB
649,love,NB
650,know get handsomeness stunning lmao,NB
651,best news week amen,NB
652,feel like could lot good even miley girl isnt cute,NB
653,well wonder son look like,NB
654,awesome fam look great,NB
655,omg say kid sometimes much pain exhaust,NB
656,never go back leave past belongs past burn ship look back,NB
657,take much drug,NB
658,thank fearless bring awareness,NB
659,oh great think sense,NB
660,drug addict care,NB
661,innocent face worth fall love,NB
662,competition world bernardo bernardo,NB
663,new look suit well old one,NB
664,penguin anime cosplay wot,NB
665,big fan mam stun stunning flame,NB
666,amazing whole look perfect model build,NB
667,look like k pop idol heart hand stripper babe,NB
668,omggggggg stun stun stun,NB
669,warm cheerful people world love,NB
670,ca n take eye u wtf,NB
671,simply beauty stun,NB
672,would look handsome man dude please heart melt,NB
673,go rock baby,NB
674,cant believe im week late news im honestly happy curtis love beautiful celebrate friend look amazing may love last forever,NB
675,cry beautiful grow fast stunning lmao,NB
676,wait see soon bub,NB
677,like eye eye blue ocean amen magical flame stun,NB
678,search love like,NB
679,dream yesterday,NB
680,stun stun stun www super nice pic,NB
681,hey cutieeee star struck star strike,NB
682,flame flame flame love much guy great job,NB
683,best sexy cute together,NB
684,awesomeness brother amen flame flame flame,NB
685,damn shame sorry hear man n know say amen pole,NB
686,pretty sm lmao,NB
687,happy birthday great time goat,NB
688,perfect real,NB
689,amaze,NB
690,really miss classmate n schoolmaster see soon people x,NB
691,completely obsess,NB
692,dance routine die,NB
693,slay flame,NB
694,awe awe personality vibes green hair,NB
695,watch yesterday inspirational thank share gift world,NB
696,reply cow,NB
697,much beauty dang stage weak,NB
698,nan,NB
699,reply return underwear wore,NB
700,reply ad scare,NB
701,reply hope well honey god bless,NB
702,reply freedom iran peace world freedom irgcterrorists ss map mini,NB
703,reply nice really sexy must say,NB
704,reply kim men keep us shape,NB
705,reply thank kiiiiiiimmmmm,NB
706,youre really handsome bet people must look pinched finger tyl haha xxxx mwa,NB
707,everyone love shawn u play awesome guitar bon tyl quality quality pinch finger,NB
708,beautiful like ur mother smile face heart,NB
709,woman like raise society standard go url mate mate,NB
710,embrace ur body amaze body smile face heart smile face heart smile face heart,NB
711,like ur colorcode bet people ur country would look gorgeous smile face heart,NB
712,u trouble ur young sister u naughty,NB
713,people respect space people say,NB
714,u go get haircut ur hair grow tremendously fml lmao lmao haha,NB
715,transfer men transwomen woman people understand spreadlove transfer transwomen rainbow hye hye,NB
716,life mean love among people world stay calm love x,NB
717,education important tool damn person succeed life substitute everyone get education poor rich education success,NB
718,feel girl boys capable stuff dont underestimate people book vagina equality manny manny hye hye,NB
719,gay lesbian human feel love support lgbtq loveislove rainbow rainbow,NB
720,support u timothy glove loveislove rainbow rainbow haha haha,NB
721,girl smart boys u perfect example mate haha,NB
722,u look pretty floral dress mate boy would awe,NB
723,bet u complete task hardworkingness ur blood begin indian mate,NB
724,pretty face clever humour u go far girl,NB
725,homosexuality trendy tragedy god create adam eve adam steve cannon,bully
726,priyadharshini cannon gender attraction sex love first love mental disease positive side effect side gender attraction relevant sex crazy brother rainbow ph,bully
727,due abnormality present sexual dimorphism nucleus hypothalamus,bully
728,think u gay thats u tell feel ur voice like,bully
729,respect u bully u point view oppose nature overgrow science growth science thats,bully
730,stupid film gay world imagine,bully
731,give importance get somebody desire wrong time encourage lgbt failure western country n capacity destroy humanity,bully
732,mental illness genetic disorder harmony masculine process get do fully main mom stomach estrogen testosterone harmony fully reach main brain mind main feel gender male vice versa lgbt itu ok cure find future,bully
733,muslim holy book korean tell story lot destruction sodomy sodomy arabic know list base lot name korean say men sex eachother punish shame,bully
734,question let sister daughter lead life like desire even fancy lesbian,bully
735,want people support go celebrate pride country uae qatar saudi arabia iran brunei first u respect place bear talk ur right ur freedom anyone interest ur parent grandparent like absolutely elder follow culture bring grow folk bear bring western still use water wash shit use paper indian lead civilize society world,bully
736,product male female heterosexual speaks like intellectual n listen people adopt child heterosexual totally reverted hypocritical people spoil family structure spoil society,bully
737,regardless science say believe man create woman vice versa rest feeling stan hundred movie tell accept fact child gay also movie make parent feel life struggle imagine kid btw portray beautiful part gay love show consequence hiv std like content love mother son amd disappoint get know,bully
738,whoever wbullyver nature acceptable,bully
739,public gather someone harass cheap creature foo parkway,bully
740,shoot shoot gay kante,bully
741,even beasts animal propaganda advance rip,bully
742,front camera everyone speak anything happen family shout roll cry allow child like stupid fellow,bully
743,accord lgbt awkward thing know good people,bully
744,lol leave change perception bc cl life something like happen one find dont explain support butt hacker playstore booty,bully
745,fully wrong forbidden,bully
746,vulgaris make us feel hat,bully
747,go si k understand ur problem legalize act shameful india indian american like foreigner,bully
748,people understand gay culture suit indian culture son bring karthik instead karthika,bully
749,watch lesbian scenes hormone change simple need science technology understand fact man get lust woman woman get lust man nature creation lord say correct way follow next generation world come end angry like brave poor confuse society get best reward die one give birth,bully
750,judgement lead aid cultural decline,bully
751,n support lgbt guy future lose banlgbtq rainbow cannon,bully
752,bad review god create human,bully
753,accepted people engage incest someone want relationship animal also feeling right question whether natural rather affect morality see animal example follow natural animal eat newborn,bully
754,totally god cannon,bully
755,guy fall talk kai yoga everything change nature law go opposite nature destroy everything go homosexual,bully
756,positive negative attracts pole attracts defect must cure culture thing natural,bully
757,lifestyle choice affect traditional culture horrify unnatural disgusting,bully
758,god create woman men men men biblical history god destroy town homosexuality place,bully
759,analysis comment carefully say gay culture need india say suit india moreover trust many inhuman act sexual activity countless wife numerous affair result gay culture society,bully
760,scientist bully psychologists astrologer also perspective say sara sham could reason homosexuality sara sham basically defect one dna structure structure geometrical correct actually suppose cosmic law cosmic creation everything anything align creation see defect perspective also see homosexuality defect one body something nature would never accept people like sex animal would go extent even marry animal nature accept intimacy clearly act reversion similarly homosexuality also act reversion legalize,bully
761,hello mental illness psychological problem certainly sin previous birth face birth call karma vinaigal reaction therefore create scene humble right world give kindness claim natural choice defend nature give damn able go process reproduction cycle actually favour nature rule gratitude parent bring world well nature make mistake guess,bully
762,totally wrong foreign culture different culture men woman sin,bully
763,destructive method wbullyver nature human race,bully
764,lgbt shame indian justice personal freedom lust,bully
765,n give freedom type people bad culture rainbow propaganda,bully
766,shameful type relationship disgust,bully
767,sorority sin sin court,bully
768,nowadays gay love true person consider sex baguette bread doughnut,bully
769,get lose rule every religion homosexuality stuff rule god god wrath hail upon beware beware beware saynotohomosexuality face vomit propaganda,bully
770,base emotion nature man man love possible upto extent share love cant cross limit,bully
771,wrong human get many wrong desire control thru ur conscience encourage,bully
772,see feel accord sin bro,bully
773,railway stop transgender enter train govt ban enter public transport create nuisance purpose govt create transgender police force create employment well control kind nuisance parkway cnn,bully
774,horrible people like give immediate treatment earth people get treatment instead boast proudly curse entire earth future generation spoil badly people literally worried ink doo lmao,bully
775,bible say homosexual sin human resource col stan want stop human population filthy law order accept bible find redemption sin meteor sale,bully
776,punish,bully
777,think end human get hiv horse fbg,bully
778,lb totally bullshit bengal crap,bully
779,actually disease choice part problem infect young generation nu km chilly,bully
780,hey seriously think transgender,bully
781,video mostly tell child abuse know one thing homosexual tempo child homosexual try change also snake booty,bully
782,bible say corinthian know ye righteous shall inherit kingdom god deceive neither fornicator idolator adulterer effeminate abuser mankind thief covetous drunkard review extortioner shall inherit kingdom god cannon,bully
783,soon go organization ask legalization pedophilia incest name sexual freedom,bully
784,mental speaking mental listening future world end lea smh,bully
785,kind feeling young age infatuation easily treat personal coinciding bring back right path focus education amen pole,bully
786,mean tell deity get whole month ww soldier get min silence bandung nu,bully
787,let ask u find life butt hole crap fbg booty playstore quality,bully
788,every transgender say prostitution food wrong food need small amount per night,bully
789,good strt propaganda propaganda propaganda propaganda propaganda propaganda propaganda lol smh fml,bully
790,think homosexuality mental illness go consult doctor,bully
791,police punish tomato cam,bully
792,hormonal psychological problem nothing nothing less n bring nature make dirty crap,bully
793,male female people mental disorder cnn foo lmao,bully
794,humanity go reason end world real ph,bully
795,people support homosexual want take responsibility like child live without use ink,bully
796,father get homosexual bear world speech justice human talented homosexual thinking create developed living situation problem criticize anybody issue people allot keep distance type guy advise people especially young generation culturally bad bad activity god create type homosexual man lesbian woman,bully
797,u people marry burn innocent straight people life,bully
798,human design purpose accountability planet earth forget designer forget purpose purpose need accountability meet destiny destruction end,bully
799,small minority try impose way life majority disgust saynotohomosexulality,bully
800,pray protect people gay transgender foo parkway rainbow cannon,bully
801,give unwanted example justify opposite pole attract nature new virus generation bad pray god bless,bully
802,positive positive attract theory nature rainbow stop sign,bully
803,totally wrong face judgment sin commit sodomy tomato rt doughnut,bully
804,soon son father av gay sex bastard justify also bullshit bengal crap,bully
805,fool find solution come rather burn natural desire freaky flame km,bully
806,mentally sick ppl need treat face vomit,bully
807,homosexuality transgender world new disaster shocking,bully
808,please give new disease freaky flame km,bully
809,people support lesbian racism blah blah someone question shout us back love two heart ask support love two sister get answer hmm,bully
810,friendship friendship dont make sexual thing nu km chilly,bully
811,harmony problem consulting doctor big solution lgbt people,bully
812,sodomy gomorrah africa one born gay lesbian kenya let us fight homosexuality cannon rainbow,bully
813,say sex marriage save filth person facepalming also save child get brainwash lgbtq community lnp rainbow cannon samesexmarriage banlgbtq lgbtq saynotolgbtq gender transgender,bully
814,lgbtq want access kid proof lgbt rainbow try make pesos new norm grooming,bully
815,protect child filthy lgbtq community rainbow lnp cannon banlgbtq,bully
816,far enough ban surgery together ban lgbtq content school get rid god ban public school,bully
817,natural,bully
818,lgbt totally waste support b h happen india bully racism lesbians tf flame km,bully
819,support nature cannon,bully
820,gay lesbianisim choice force scare common pls u want keep four wall,bully
821,never see heard gay grandparent anywhere world say lgbtq,bully
822,avoid lgbtq book destroy family devil way process make distance family different community worship devil way dajjaal lgbtq saynotolgbtq samesexmarriage rainbow lnp cannon,bully
823,uganda right spread barbaric unnatural stupid act future generation saynotolgbtq lnp rainbow cannon,bully
824,read article carefully decriminalise sex animal well evil verdict snake r,bully
825,fool misintrupt bible god need create man woman gender sex ok even animal proof u need god,bully
826,want control population live alone help child u need sexual relationship friend mind need control saynotolgbtq,bully
827,u r devil follower god freaky flame km,bully
828,issn u great attitude confidence mean ur point correct god create adam eve adam steve every matter one judgement either may true false nothing ur idea deep correct always admire lady u come medium talk ur idea homosexuality need great courage sorry ur idea impure day ppl come talk homosexuality choice u deal correct decade ppl come talk sex animal dead body correct tell choice one two ppl idea nice attitude confidence mean choice correct final conclusion ur attitude may right ur idea change habit thought sure u regret u r go change banlgbtq,bully
829,nan,
830,mohammed first wife kanji wealthy sick woman islam lie,bully
831,mohammed always lie say attack others plan attack crap,bully
832,mohammed murderer jesus n mohammed rapist jesus n smh,bully
833,logic retard madrassa rat crap,bully
834,prophet mohammed big murderer behead jew one day isi smh smh,bully
835,two verse make progress crap feedback,bully
836,choose muslim choose bullet non muslim http co mta text crap smh smh,bully
837,rt muslim american feel target obama mention jew victim time h http,bully
838,politician make insane speech freedom speech studiously avoid real source problem violence islam,bully
839,notice seat woman men seperate one sign sexism gender apartheid islam crap feedback smh,bully
840,really n know anything evil religion http co c ode cc smh,bully
841,majority muslim country,bully
842,muslim worldwide problem israel protect muslim persecution global,bully
843,funny defender islam like bring crusade muslim crusader attack christianity first mate smh,bully
844,islamist repeat brain dead line someone else tell say see one thousand time smh,bully
845,christian world get rid slavery muslim world pressure get rid return,bully
846,understand dash pass law people leave aqua mosul sewer terror,bully
847,pedophile prophet making excuse slaughter steal land property lmao,bully
848,never exist muslim state,bully
849,look know anything islam waste time cause smh,bully
850,lol creative islam muslim discovery come conquered persian,bully
851,rt isi mecca think real muslim nothing islam http co j mo hmqfk,bully
852,isi want control world mohammed want control,bully
853,hopefully follower slave trader pedophile prophet mohammed,bully
854,islam declare war mankind year ago muslims cry like baby others respond kind lmao smh,bully
855,yeah read every verse tao te ching superior every verse quran quran fraud,bully
856,either ignorant religion liar tell,bully
857,concerned single event concerned year islamic murder barbarian show sign end smh,bully
858,trust isi shia militia want force sick religion people tiki,bully
859,muslim per would abuse hindu,bully
860,rt rt true history islam slavery must see http co ft jazz net,bully
861,wrong muslim murder hindu india kashmir bangladesh pakistan,bully
862,must one nuts think crime christianity justify crime islam,bully
863,rt obama love golf great love christian jews http co lludcu jsp,bully
864,n see kkk member entire life muslim attack kkk attack ten thousand one,bully
865,isi giant embarrassment muslims barbaric thing,bully
866,peninsula fill christian well,bully
867,rt aqua syria isi depth abu ibrahim raqqawi child learn kill without bat eye http co iwf,bully
868,maybe teach respect muslim bully mobs murder christian hindu pretend blasphemy,bully
869,religion mean want stop islam murder http co te rfk,bully
870,yes islam autism christianity abraham religion science advance get past superstition,bully
871,yes islam generate level barbarian hatred humanity co frohluet,bully
872,would care personal habit fight islam practice majority,bully
873,article person likely never read page quran life,bully
874,woman wear bikini wear cover everything choice make choice islam beat smh,bully
875,even pickthall englishman muslim convert,bully
876,as terrorist bitch,bully
877,asshole single muslim barbarian set stone quran evolve,bully
878,rt please draw mohammed smiley face draw post iamcharliehebdo http co qiovzynxdj,bully
879,muslim follow example mohammed continued murder,bully
880,isi obsess behead terrorist prophet mohammed men behead one day islam http co zkqzuyyhjs haha smh smh,bully
881,car christian muslim take government force finally christians fight back,bully
882,dodge rables make assertion assertion zero evidence reference quran hadith garbage,bully
883,long idiot politician tell us islam islamic extremist copenhagen,bully
884,lead world development islam fell behind world islam,bully
885,course muslim question civilization move beyond bully barbarian,bully
886,prophet mohammed declared war non muslims year ago exactly impose,bully
887,true store behead much mohammed taste,bully
888,rt norway see huge drop crime large number muslim illegal deport http co vbvvpwn q,bully
889,nobody want claim terrorist,bully
890,per caput production nobel prize winner israel time muslim state,bully
891,b reason non muslim earth non muslim army defeat muslim lmao,bully
892,problem islam fix still islam smh,bully
893,zero lie westerns create come quran hadith,bully
894,asshole muslim reserve right act like animal scream like woman,bully
895,make isi rise talk islam create monster http co q kbd q smh,bully
896,rt syria kane update kurd kill islamicstate jihadist january amp continue advance reclaim village h,bully
897,yeah unlike muslim execute gay throw building,bully
898,rt obama implies murder muslim nc bully bigotry terrorist slaughter jew paris kosher deli,bully
899,expect terrorist group hamas election gaza usual one man one vote one time islamic election islam,bully
900,unfortunately real islam define quran hadith backwards inhuman even muslims smh smh,bully
901,earthly tyrant also egotistical want everyone admire bow quran writer imagine god,bully
902,minority india microbrain next door pakistan muslim mob murder,bully
903,put nothing contributes mankind muslim,bully
904,land leave muslim army invade israel guy say egyptian amp saudi co cmfoph w,bully
905,lol common knowledge countless report muslim go area europe google,bully
906,war chop head rap slave girl mohammed favorite activity smh smh smh,bully
907,impossible kill isi without collateral damage since hide among civilian,bully
908,saudi sewer quran perfect idea perfect place quran saudi islam isi pakistan http co cgi nsf,bully
909,isi book haram al qaeda taliban iran hang kurd egyptian kill cost etc etc etc,bully
910,still wait let go quran verse see lie,bully
911,know truth million citizen earth murder sum shout alla abbr,bully
912,domestic violence data muslim country say lying,bully
913,rt say islam religion say cult islam activity match description crime mafia must bust smh,bully
914,come moon let us go verse quran start afraid,bully
915,reason overall number increase muslim breed like rat like prophet tell islam,bully
916,rt good week isis new front open singer lose battle f,bully
917,muslim first crusader attack christian world century attack back,bully
918,capital hill great example seldom world attack islam give daily provocation,bully
919,agree like prophet mohammed,bully
920,total idiot muslim kill people around globe war every religion earth smh,bully
921,bomb hitler various dictator refuse slave muslim need get grip reality,bully
922,rt kurd clean isi islamofascist trash kane kane graveyard isi via http co n,bully
923,stupidity argument one rationalize barbarian islam,bully
924,rt isi islam pc puzzle convert religion peace lead violence http co tbjusaemuh http co g oh,bully
925,lol think probe people tow main stream line muslim c http co yzdjhnfqen,bully
926,terrorist take church born american never subject,bully
927,soon ask uneducated chronic madrassa rat surgery butcher knife prayer whoa smh,bully
928,rt doctrine support terrorism amp violence http co u imwdacc,bully
929,work huff post get job hire white knight lmao smh,bully
930,rt calculate arab policy keep palestinian state desperation incite smh,bully
931,fool girl american van jones vow communist white guy follow idiot unemployed idiot think none,bully
932,thailand iranian blew leg harm israeli example iran military might end iranian blow leg country none,bully
933,seem bully dumb ho start cry slavery even though never irish ancestor slave hear irish white cry handout afraid black people fact never meet nig r could beat stop afraid white sex l prowess black girl love white men know maybe raise child something nig dodge since day bear maybe afraid intelligence education afraid black people lololololololololololololololololo anyway back slavery issue buy nig ets black keep mean sell us black people get mad us sell race bit h bl w stupid nig ho since mouth good b l,bully
934,order copy hook physic tell black people black need people plural know mean spent much time learn much crap pump like think good know much forgot learn correct diction call people pitiful pitiful one go back cave caucus mt kind originate living like animal still ready live around civilized people none,bully
935,black woman bitch pitch get category book race irrelevant deal sophisticated uncivil female,bully
936,stupid bully motherfucker bet would never say black man woman face would none,bully
937,part go back school learn string proper legible sentence together understand need fuck diagram obvious woman havent learnt anything go back bottom come make sense waste server space woman doubt even huge black cock filthy hole would shut moon h,bully
938,wall right morris bully new face ignorance new south matter often wash black sheet still carry smell good luck guy like god special section sit arrive rest spot none,bully
939,keep fresh next bitch need ever sweat next bitch speed make best bitch see exit indeed get ta know thoroughly respect get key nexus driver gotha sup ride keep as tighter verse thats get ta watch friend get watch conniving shit first chance crack bank try get cent rank papayas village tele time kill belly question get black chick sheet essence say sex weapon shoot meet death less second still pound life margin shit tight ask right chorus aint nigra like one get one fuck beta sleep around give alot keep diamond,bully
940,yeah probably dick ugly fuck monkey black whore even woman black woman think monkey zoo go get count serialize plus dont make mixer none,bully
941,idea cappella whitespace potentially offensive ted hansen blackface frankly fuck ridiculous honestly make ashamed white best argument cee new sims none,bully
942,pretty meaningful high ranking government official shortage additional example take normal high school approximately white black student body example go look lunch room see white black sit much often serious conflict divide along racial line racial preference also reflect people choose live affluent black community region affluent black often choose live among affluent black blame natural people want associate people like people desire associate kind national trend characteristic human nature exist many thousand year earth none,bully
943,travis cornell joyce nukkas never forget forgive show black pass fuck today fuck tomorrow fuck forever,bully
944,formal black hole,bully
945,bill mater dumb forget show show less edit reply pm reply respond troll like read mat find six black men deem matt grudge bully video ixzz yhvyeuh none,bully
946,non white let country vote politics best interest country get bias put aside matter non white white like us always utilize group think us vs us matter screw people think problem discuss demographic change black white pun intend like people perceive people think go one two way good bad vast amount grey area complex cause effect deal index point viewer smh haha,bully
947,must really suck black toxic vile culture,bully
948,white people fuck like black people fuck like,bully
949,would hard press empty full mag little black angel,bully
950,soo intelligent white girl tell us black people im sure u know us,bully
951,ignorant fuck black people skateboard long as time stop look lil wayne set trend,bully
952,issue shoe care invoke certain response emotion someone say someone feel emotion heck jesse feel black people comment demonstrate one reason race relation long way go many ignorant people still breathe serious dialogue stop tell everyone feel maybe listen one told majority americans emotional response despite fact impact directly anyone debate get hurt understand move instance people crazy slave want dictate people talk walk dress go bathroom etc seem limit adidas every right sell shoe people every right express feel know way express felt,bully
953,race need put another race order feel well race lie history book make look good race act found america race little boys safe around race see history bullyful kill people race bullyful bomb church kill little girls race lynch thousand black never spend day jail,bully
954,good know never touch pig like get think people superior beautiful people world bytchplease unlike people go around disrespect decease littledyck even touch surface phatpig like u would spend much time black website post bully comment unhappy self least confidence go get self esteem dyckimplant,bully
955,talk zimmerman police obama black cause smh,bully
956,wait hear say black huh black okay hand go smoke cigarette well really invest hustle playboy haha smh index point viewer,bully
957,im sorry dont nobody pick somebody randomly start attack like go ham reason mora seem like one low key stand pitch might true mora play role aint black chick gon go like smh smh,bully
958,skunk half black half white stink b l c k people stink blind people h e lol smh,bully
959,fat lip monkey get shot r u smarter black u rice dick suck noodle day dont make u smart lmao lmao smh,bully
960,black goo suck space jockey cause xenomorphs thats similar tiger body doesnt need two crazy coincidence set prometheus xenomorphs alien xenomorphs,bully
961,piece sum accord sa constitution lady black person hope mother mother old cow idiot smh,bully
962,give jama rk would never possibly waste time try communicate extraordinarily juvenile year old lightly educate bully probably angry house bound loser sit stupid sighted comment lasting black people know superior really could pathetic,bully
963,black woman bitch pitch get category book race irrelevant deal sophisticated uncivil female,bully
964,check many race mixed spain call hispanic blood arrogant online troll think know people possibly know ticket,bully
965,thought another race minute,bully
966,clueless bull like complete denial boy fact kill race race card mention race longer behind sick bastard pull trigger,bully
967,respectfully think wrong alain genetic physiological trait determine race far fetched notion psychological intelligence trait iq future time orientation delay gratification also genetically predetermine let cut horseshoe th century wasp civilization art literature science asian civilization art literature science negroid primitive tribal culture still live mud hut write language,bully
968,consider good dancer br haha bitch bring lmaz kinda think lmaz black yes haha consider good dancer haha bitch bring lmaz kinda think lmaz black yes haha,bully
